from http://www.psc.isr.umich.edu/dis/census/Features/tract2zip/,,,
Zip,Median,Mean,Pop
2841,53958.00,58483.00,840.00
2842,70800.55,83980.44,17305.00
2852,76449.21,96570.61,23107.00
2857,74686.15,86940.57,8462.00
2858,65948.00,78029.00,545.00
2859,70127.18,77006.94,6798.00
2860,35153.87,44984.49,46470.00
2861,53928.62,61308.76,26624.00
2863,33666.30,40874.99,18946.00
2864,73449.85,84791.68,31834.00
2865,75539.87,94794.47,16435.00
2871,59264.36,80284.54,12418.00
2872,71705.00,94978.00,88.00
2873,71104.00,79440.00,161.00
2874,90020.29,118608.60,5081.00
2875,72819.00,89720.00,307.00
2876,80080.05,88709.43,80.00
2878,62529.52,76644.74,15257.00
2879,70847.89,90447.03,19172.00
2881,47075.03,60168.27,6387.00
2882,61144.19,87364.90,14807.00
2885,54317.26,71228.17,11386.00
2886,59954.28,71362.68,30234.00
2888,58509.12,66679.96,20650.00
2889,60121.81,68713.70,29615.00
2891,61399.40,74554.39,21338.00
2892,80221.57,98074.20,4846.00
2893,52341.70,60429.88,29518.00
2894,72539.46,88044.36,730.00
2895,40457.05,48967.90,43198.00
2896,79212.97,87184.18,10549.00
2898,72767.72,89412.63,1672.00
2903,26262.02,51971.43,9350.00
2904,44102.30,57489.98,28539.00
2905,34502.62,46204.82,20393.00
2906,64563.37,102753.19,29878.00
2907,30215.75,40139.53,27163.00
2908,40372.60,52099.21,38036.00
2909,33876.53,45086.53,40945.00
2910,58286.95,62428.62,20959.00
2911,48686.89,58607.22,15508.00
2912,60938.00,124502.00,1016.00
2914,46275.49,55013.90,22316.00
2915,52780.06,67882.43,18127.00
2916,59302.29,73541.21,8220.00
2917,71030.02,85287.06,13288.00
2919,59407.89,66483.69,28253.00
2920,54380.09,65388.74,37423.00
2921,85747.85,105690.28,10608.00
3031,115543.77,134503.34,10879.00
3032,90082.00,98874.00,4674.00
3033,101722.00,105947.00,4185.00
3034,90985.87,96055.64,3961.00
3036,99970.00,114222.00,3785.00
3037,85573.00,93969.00,3638.00
3038,72374.12,82126.17,33893.00
3042,73405.00,87635.00,5479.00
3043,67541.34,77720.89,1500.00
3044,76929.00,80916.00,3491.00
