"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Lincoln County, Colorado",0.468,0.052
"Logan County, Colorado",0.419,0.021
"Mesa County, Colorado",0.441,0.011
"Mineral County, Colorado",0.598,0.114
"Moffat County, Colorado",0.382,0.024
"Montezuma County, Colorado",0.449,0.02
"Montrose County, Colorado",0.417,0.017
"Morgan County, Colorado",0.396,0.023
"Otero County, Colorado",0.439,0.023
"Ouray County, Colorado",0.416,0.036
"Park County, Colorado",0.353,0.024
"Phillips County, Colorado",0.423,0.069
"Pitkin County, Colorado",0.591,0.035
"Prowers County, Colorado",0.448,0.025
"Pueblo County, Colorado",0.455,0.014
"Rio Blanco County, Colorado",0.379,0.025
"Rio Grande County, Colorado",0.431,0.025
"Routt County, Colorado",0.391,0.03
"Saguache County, Colorado",0.475,0.03
"San Juan County, Colorado",0.313,0.06
"San Miguel County, Colorado",0.452,0.06
"Sedgwick County, Colorado",0.43,0.03
"Summit County, Colorado",0.394,0.034
"Teller County, Colorado",0.365,0.017
"Washington County, Colorado",0.425,0.023
"Weld County, Colorado",0.421,0.009
"Yuma County, Colorado",0.414,0.034
"Fairfield County, Connecticut",0.537,0.005
"Hartford County, Connecticut",0.458,0.005
"Litchfield County, Connecticut",0.428,0.009
"Middlesex County, Connecticut",0.419,0.011
"New Haven County, Connecticut",0.457,0.005
"New London County, Connecticut",0.418,0.007
"Tolland County, Connecticut",0.392,0.009
"Windham County, Connecticut",0.4,0.009
"Kent County, Delaware",0.406,0.008
"New Castle County, Delaware",0.441,0.007
"Sussex County, Delaware",0.428,0.008
"District of Columbia, District of Columbia",0.535,0.005
"Alachua County, Florida",0.516,0.01
"Baker County, Florida",0.429,0.042
"Bay County, Florida",0.416,0.011
"Bradford County, Florida",0.42,0.027
"Brevard County, Florida",0.442,0.006
"Broward County, Florida",0.469,0.005
"Calhoun County, Florida",0.441,0.03
"Charlotte County, Florida",0.432,0.014
"Citrus County, Florida",0.434,0.011
"Clay County, Florida",0.387,0.012
"Collier County, Florida",0.522,0.009
"Columbia County, Florida",0.432,0.015
"DeSoto County, Florida",0.422,0.021
"Dixie County, Florida",0.41,0.037
"Duval County, Florida",0.45,0.008
