"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Koochiching County, Minnesota",0.448,0.044
"Lac qui Parle County, Minnesota",0.393,0.016
"Lake County, Minnesota",0.397,0.022
"Lake of the Woods County, Minnesota",0.447,0.064
"Le Sueur County, Minnesota",0.376,0.014
"Lincoln County, Minnesota",0.425,0.027
"Lyon County, Minnesota",0.415,0.012
"McLeod County, Minnesota",0.395,0.023
"Mahnomen County, Minnesota",0.413,0.027
"Marshall County, Minnesota",0.383,0.013
"Martin County, Minnesota",0.443,0.018
"Meeker County, Minnesota",0.381,0.012
"Mille Lacs County, Minnesota",0.395,0.013
"Morrison County, Minnesota",0.407,0.014
"Mower County, Minnesota",0.42,0.011
"Murray County, Minnesota",0.402,0.015
"Nicollet County, Minnesota",0.387,0.018
"Nobles County, Minnesota",0.42,0.019
"Norman County, Minnesota",0.425,0.02
"Olmsted County, Minnesota",0.428,0.008
"Otter Tail County, Minnesota",0.417,0.011
"Pennington County, Minnesota",0.406,0.019
"Pine County, Minnesota",0.397,0.013
"Pipestone County, Minnesota",0.434,0.022
"Polk County, Minnesota",0.416,0.013
"Pope County, Minnesota",0.421,0.024
"Ramsey County, Minnesota",0.458,0.005
"Red Lake County, Minnesota",0.377,0.024
"Redwood County, Minnesota",0.428,0.017
"Renville County, Minnesota",0.409,0.014
"Rice County, Minnesota",0.384,0.011
"Rock County, Minnesota",0.4,0.021
"Roseau County, Minnesota",0.372,0.023
"St. Louis County, Minnesota",0.442,0.007
"Scott County, Minnesota",0.371,0.009
"Sherburne County, Minnesota",0.354,0.012
"Sibley County, Minnesota",0.383,0.015
"Stearns County, Minnesota",0.424,0.009
"Steele County, Minnesota",0.389,0.015
"Stevens County, Minnesota",0.465,0.056
"Swift County, Minnesota",0.425,0.029
"Todd County, Minnesota",0.409,0.016
"Traverse County, Minnesota",0.443,0.025
"Wabasha County, Minnesota",0.416,0.016
"Wadena County, Minnesota",0.423,0.018
"Waseca County, Minnesota",0.369,0.017
"Washington County, Minnesota",0.404,0.008
"Watonwan County, Minnesota",0.398,0.02
"Wilkin County, Minnesota",0.375,0.026
"Winona County, Minnesota",0.439,0.014
"Wright County, Minnesota",0.368,0.01
"Yellow Medicine County, Minnesota",0.386,0.018
"Adams County, Mississippi",0.525,0.023
"Alcorn County, Mississippi",0.457,0.014
"Amite County, Mississippi",0.5,0.03
"Attala County, Mississippi",0.495,0.023
"Benton County, Mississippi",0.457,0.04
"Bolivar County, Mississippi",0.527,0.025
"Calhoun County, Mississippi",0.432,0.019
"Carroll County, Mississippi",0.476,0.035
"Chickasaw County, Mississippi",0.467,0.029
"Choctaw County, Mississippi",0.434,0.03
"Claiborne County, Mississippi",0.483,0.029
"Clarke County, Mississippi",0.447,0.02
"Clay County, Mississippi",0.491,0.024
"Coahoma County, Mississippi",0.548,0.047
"Copiah County, Mississippi",0.459,0.028
"Covington County, Mississippi",0.464,0.021
"DeSoto County, Mississippi",0.365,0.008
"Forrest County, Mississippi",0.483,0.015
"Franklin County, Mississippi",0.555,0.122
"George County, Mississippi",0.4,0.029
"Greene County, Mississippi",0.398,0.032
"Grenada County, Mississippi",0.492,0.031
"Hancock County, Mississippi",0.426,0.017
"Harrison County, Mississippi",0.444,0.01
"Hinds County, Mississippi",0.486,0.011
"Holmes County, Mississippi",0.485,0.029
"Humphreys County, Mississippi",0.486,0.04
"Issaquena County, Mississippi",0.476,0.047
"Itawamba County, Mississippi",0.411,0.022
"Jackson County, Mississippi",0.441,0.016
"Jasper County, Mississippi",0.482,0.033
"Jefferson County, Mississippi",0.499,0.056
"Jefferson Davis County, Mississippi",0.466,0.034
"Jones County, Mississippi",0.466,0.017
"Kemper County, Mississippi",0.463,0.03
"Lafayette County, Mississippi",0.516,0.02
"Lamar County, Mississippi",0.487,0.028
"Lauderdale County, Mississippi",0.492,0.018
"Lawrence County, Mississippi",0.444,0.026
"Leake County, Mississippi",0.449,0.028
"Lee County, Mississippi",0.481,0.021
"Leflore County, Mississippi",0.527,0.023
"Lincoln County, Mississippi",0.475,0.025
"Lowndes County, Mississippi",0.49,0.023
"Madison County, Mississippi",0.481,0.013
"Marion County, Mississippi",0.491,0.02
"Marshall County, Mississippi",0.452,0.023
"Monroe County, Mississippi",0.46,0.024
"Montgomery County, Mississippi",0.462,0.041
"Neshoba County, Mississippi",0.456,0.018
"Newton County, Mississippi",0.407,0.018
"Noxubee County, Mississippi",0.487,0.026
"Oktibbeha County, Mississippi",0.536,0.022
"Panola County, Mississippi",0.446,0.019
"Pearl River County, Mississippi",0.46,0.015
"Perry County, Mississippi",0.41,0.026
"Pike County, Mississippi",0.506,0.025
"Pontotoc County, Mississippi",0.436,0.031
"Prentiss County, Mississippi",0.462,0.052
"Quitman County, Mississippi",0.45,0.028
"Rankin County, Mississippi",0.43,0.017
"Scott County, Mississippi",0.463,0.041
"Sharkey County, Mississippi",0.445,0.032
"Simpson County, Mississippi",0.444,0.02
"Smith County, Mississippi",0.439,0.029
"Stone County, Mississippi",0.5,0.104
"Sunflower County, Mississippi",0.498,0.023
"Tallahatchie County, Mississippi",0.463,0.025
"Tate County, Mississippi",0.414,0.023
"Tippah County, Mississippi",0.433,0.038
"Tishomingo County, Mississippi",0.442,0.023
"Tunica County, Mississippi",0.46,0.03
"Union County, Mississippi",0.432,0.03
"Walthall County, Mississippi",0.462,0.025
"Warren County, Mississippi",0.464,0.016
"Washington County, Mississippi",0.498,0.017
"Wayne County, Mississippi",0.466,0.023
"Webster County, Mississippi",0.451,0.03
"Wilkinson County, Mississippi",0.493,0.101
"Winston County, Mississippi",0.459,0.031
"Yalobusha County, Mississippi",0.465,0.039
"Yazoo County, Mississippi",0.487,0.018
"Adair County, Missouri",0.479,0.019
"Andrew County, Missouri",0.396,0.023
"Atchison County, Missouri",0.44,0.038
"Audrain County, Missouri",0.398,0.022
"Barry County, Missouri",0.431,0.025
"Barton County, Missouri",0.405,0.026
"Bates County, Missouri",0.406,0.013
"Benton County, Missouri",0.44,0.031
"Bollinger County, Missouri",0.442,0.026
"Boone County, Missouri",0.466,0.01
"Buchanan County, Missouri",0.433,0.015
"Butler County, Missouri",0.453,0.019
"Caldwell County, Missouri",0.421,0.022
"Callaway County, Missouri",0.404,0.017
"Camden County, Missouri",0.434,0.02
"Cape Girardeau County, Missouri",0.429,0.016
"Carroll County, Missouri",0.504,0.071
"Carter County, Missouri",0.424,0.026
"Cass County, Missouri",0.368,0.009
"Cedar County, Missouri",0.404,0.023
"Chariton County, Missouri",0.393,0.019
"Christian County, Missouri",0.391,0.011
"Clark County, Missouri",0.406,0.028
"Clay County, Missouri",0.388,0.008
"Clinton County, Missouri",0.373,0.016
"Cole County, Missouri",0.405,0.013
"Cooper County, Missouri",0.397,0.019
"Crawford County, Missouri",0.395,0.024
"Dade County, Missouri",0.411,0.031
"Dallas County, Missouri",0.418,0.039
"Daviess County, Missouri",0.433,0.029
"DeKalb County, Missouri",0.407,0.027
"Dent County, Missouri",0.392,0.02
"Douglas County, Missouri",0.423,0.044
"Dunklin County, Missouri",0.456,0.016
"Franklin County, Missouri",0.408,0.012
"Gasconade County, Missouri",0.398,0.02
"Gentry County, Missouri",0.405,0.019
"Greene County, Missouri",0.458,0.009
"Grundy County, Missouri",0.397,0.022
"Harrison County, Missouri",0.423,0.027
"Henry County, Missouri",0.442,0.031
"Hickory County, Missouri",0.443,0.047
"Holt County, Missouri",0.392,0.03
"Howard County, Missouri",0.458,0.067
"Howell County, Missouri",0.414,0.015
"Iron County, Missouri",0.443,0.025
"Jackson County, Missouri",0.449,0.005
"Jasper County, Missouri",0.444,0.014
"Jefferson County, Missouri",0.378,0.007
"Johnson County, Missouri",0.404,0.012
"Knox County, Missouri",0.467,0.046
"Laclede County, Missouri",0.443,0.04
"Lafayette County, Missouri",0.389,0.021
"Lawrence County, Missouri",0.421,0.024
"Lewis County, Missouri",0.402,0.035
"Lincoln County, Missouri",0.371,0.015
"Linn County, Missouri",0.465,0.042
"Livingston County, Missouri",0.42,0.019
"McDonald County, Missouri",0.422,0.03
"Macon County, Missouri",0.408,0.023
"Madison County, Missouri",0.407,0.03
"Maries County, Missouri",0.394,0.028
"Marion County, Missouri",0.435,0.026
"Mercer County, Missouri",0.415,0.027
"Miller County, Missouri",0.402,0.017
"Mississippi County, Missouri",0.459,0.029
"Moniteau County, Missouri",0.388,0.024
"Monroe County, Missouri",0.376,0.02
"Montgomery County, Missouri",0.399,0.02
"Morgan County, Missouri",0.417,0.029
"New Madrid County, Missouri",0.471,0.042
"Newton County, Missouri",0.439,0.017
"Nodaway County, Missouri",0.454,0.04
"Oregon County, Missouri",0.452,0.031
"Osage County, Missouri",0.394,0.026
"Ozark County, Missouri",0.401,0.023
"Pemiscot County, Missouri",0.459,0.018
"Perry County, Missouri",0.395,0.018
"Pettis County, Missouri",0.424,0.022
"Phelps County, Missouri",0.465,0.028
"Pike County, Missouri",0.414,0.024
"Platte County, Missouri",0.408,0.01
"Polk County, Missouri",0.431,0.015
"Pulaski County, Missouri",0.386,0.016
"Putnam County, Missouri",0.446,0.052
"Ralls County, Missouri",0.389,0.025
"Randolph County, Missouri",0.413,0.02
"Ray County, Missouri",0.425,0.038
"Reynolds County, Missouri",0.398,0.024
"Ripley County, Missouri",0.405,0.031
"St. Charles County, Missouri",0.373,0.007
"St. Clair County, Missouri",0.41,0.023
"Ste. Genevieve County, Missouri",0.378,0.021
"St. Francois County, Missouri",0.419,0.013
"St. Louis County, Missouri",0.476,0.005
"Saline County, Missouri",0.403,0.014
"Schuyler County, Missouri",0.407,0.023
"Scotland County, Missouri",0.445,0.033
"Scott County, Missouri",0.446,0.013
"Shannon County, Missouri",0.401,0.025
"Shelby County, Missouri",0.372,0.016
"Stoddard County, Missouri",0.475,0.054
"Stone County, Missouri",0.423,0.024
"Sullivan County, Missouri",0.423,0.031
"Taney County, Missouri",0.456,0.037
"Texas County, Missouri",0.443,0.026
"Vernon County, Missouri",0.427,0.018
"Warren County, Missouri",0.421,0.022
"Washington County, Missouri",0.434,0.029
"Wayne County, Missouri",0.423,0.02
"Webster County, Missouri",0.405,0.019
"Worth County, Missouri",0.362,0.041
"Wright County, Missouri",0.461,0.044
"St. Louis city, Missouri",0.487,0.007
"Beaverhead County, Montana",0.434,0.03
"Big Horn County, Montana",0.432,0.026
"Blaine County, Montana",0.424,0.027
"Broadwater County, Montana",0.363,0.031
"Carbon County, Montana",0.419,0.025
"Carter County, Montana",0.45,0.044
"Cascade County, Montana",0.427,0.014
"Chouteau County, Montana",0.425,0.026
"Custer County, Montana",0.417,0.023
"Daniels County, Montana",0.434,0.041
"Dawson County, Montana",0.392,0.026
"Deer Lodge County, Montana",0.426,0.024
"Fallon County, Montana",0.404,0.03
"Fergus County, Montana",0.438,0.027
"Flathead County, Montana",0.436,0.014
"Gallatin County, Montana",0.437,0.013
"Garfield County, Montana",0.393,0.032
"Glacier County, Montana",0.437,0.029
"Golden Valley County, Montana",0.413,0.054
"Granite County, Montana",0.453,0.047
"Hill County, Montana",0.432,0.029
"Jefferson County, Montana",0.397,0.027
"Judith Basin County, Montana",0.439,0.037
"Lake County, Montana",0.43,0.018
"Lewis and Clark County, Montana",0.4,0.013
"Liberty County, Montana",0.44,0.042
"Lincoln County, Montana",0.427,0.021
"McCone County, Montana",0.391,0.037
"Madison County, Montana",0.507,0.08
"Meagher County, Montana",0.452,0.042
"Mineral County, Montana",0.381,0.022
"Missoula County, Montana",0.47,0.014
"Musselshell County, Montana",0.432,0.039
"Park County, Montana",0.456,0.026
"Petroleum County, Montana",0.398,0.083
"Phillips County, Montana",0.479,0.104
"Pondera County, Montana",0.45,0.032
"Powder River County, Montana",0.477,0.044
"Powell County, Montana",0.398,0.028
"Prairie County, Montana",0.42,0.038
"Ravalli County, Montana",0.453,0.024
"Richland County, Montana",0.432,0.032
"Roosevelt County, Montana",0.427,0.024
"Rosebud County, Montana",0.407,0.02
"Sanders County, Montana",0.422,0.018
"Sheridan County, Montana",0.45,0.026
"Silver Bow County, Montana",0.413,0.013
"Stillwater County, Montana",0.388,0.021
"Sweet Grass County, Montana",0.415,0.039
"Teton County, Montana",0.432,0.032
"Toole County, Montana",0.434,0.04
"Treasure County, Montana",0.38,0.026
"Valley County, Montana",0.417,0.042
"Wheatland County, Montana",0.45,0.042
"Wibaux County, Montana",0.417,0.049
"Yellowstone County, Montana",0.429,0.01
"Adams County, Nebraska",0.44,0.022
"Antelope County, Nebraska",0.424,0.028
"Arthur County, Nebraska",0.341,0.049
"Banner County, Nebraska",0.496,0.074
"Blaine County, Nebraska",0.337,0.055
"Boone County, Nebraska",0.429,0.054
"Box Butte County, Nebraska",0.407,0.02
"Boyd County, Nebraska",0.391,0.039
"Brown County, Nebraska",0.443,0.03
"Buffalo County, Nebraska",0.42,0.017
"Burt County, Nebraska",0.414,0.027
"Butler County, Nebraska",0.357,0.017
"Cass County, Nebraska",0.367,0.014
"Cedar County, Nebraska",0.434,0.04
"Chase County, Nebraska",0.439,0.068
"Cherry County, Nebraska",0.418,0.037
"Cheyenne County, Nebraska",0.405,0.022
"Clay County, Nebraska",0.399,0.037
"Colfax County, Nebraska",0.412,0.046
"Cuming County, Nebraska",0.426,0.05
"Custer County, Nebraska",0.408,0.02
"Dakota County, Nebraska",0.395,0.022
"Dawes County, Nebraska",0.443,0.03
"Dawson County, Nebraska",0.403,0.023
"Deuel County, Nebraska",0.458,0.061
"Dixon County, Nebraska",0.376,0.025
"Dodge County, Nebraska",0.409,0.019
"Douglas County, Nebraska",0.461,0.007
"Dundy County, Nebraska",0.462,0.077
"Fillmore County, Nebraska",0.387,0.02
"Franklin County, Nebraska",0.408,0.038
"Frontier County, Nebraska",0.4,0.03
"Furnas County, Nebraska",0.429,0.028
"Gage County, Nebraska",0.396,0.012
"Garden County, Nebraska",0.386,0.027
"Garfield County, Nebraska",0.369,0.034
"Gosper County, Nebraska",0.453,0.043
"Grant County, Nebraska",0.386,0.049
"Greeley County, Nebraska",0.387,0.03
"Hall County, Nebraska",0.414,0.018
"Hamilton County, Nebraska",0.37,0.021
"Harlan County, Nebraska",0.433,0.082
"Hayes County, Nebraska",0.372,0.042
"Hitchcock County, Nebraska",0.396,0.027
"Holt County, Nebraska",0.406,0.021
"Hooker County, Nebraska",0.396,0.046
"Howard County, Nebraska",0.391,0.027
"Jefferson County, Nebraska",0.408,0.027
"Johnson County, Nebraska",0.373,0.025
"Kearney County, Nebraska",0.403,0.048
"Keith County, Nebraska",0.426,0.042
"Keya Paha County, Nebraska",0.417,0.041
"Kimball County, Nebraska",0.384,0.027
"Knox County, Nebraska",0.414,0.019
"Lancaster County, Nebraska",0.434,0.007
"Lincoln County, Nebraska",0.433,0.019
"Logan County, Nebraska",0.314,0.038
"Loup County, Nebraska",0.392,0.035
"McPherson County, Nebraska",0.311,0.062
"Madison County, Nebraska",0.42,0.016
"Merrick County, Nebraska",0.378,0.03
"Morrill County, Nebraska",0.438,0.037
"Nance County, Nebraska",0.412,0.031
"Nemaha County, Nebraska",0.425,0.024
"Nuckolls County, Nebraska",0.425,0.054
"Otoe County, Nebraska",0.406,0.017
"Pawnee County, Nebraska",0.382,0.035
"Perkins County, Nebraska",0.351,0.029
"Phelps County, Nebraska",0.402,0.023
"Pierce County, Nebraska",0.352,0.016
"Platte County, Nebraska",0.385,0.015
"Polk County, Nebraska",0.393,0.044
"Red Willow County, Nebraska",0.4,0.021
"Richardson County, Nebraska",0.396,0.019
"Rock County, Nebraska",0.436,0.049
"Saline County, Nebraska",0.391,0.024
"Sarpy County, Nebraska",0.36,0.007
"Saunders County, Nebraska",0.392,0.015
"Scotts Bluff County, Nebraska",0.426,0.013
"Seward County, Nebraska",0.419,0.035
"Sheridan County, Nebraska",0.419,0.028
"Sherman County, Nebraska",0.407,0.027
"Sioux County, Nebraska",0.465,0.082
"Stanton County, Nebraska",0.397,0.039
"Thayer County, Nebraska",0.398,0.015
"Thomas County, Nebraska",0.516,0.11
"Thurston County, Nebraska",0.436,0.023
"Valley County, Nebraska",0.421,0.026
"Washington County, Nebraska",0.39,0.019
"Wayne County, Nebraska",0.388,0.024
"Webster County, Nebraska",0.418,0.026
"Wheeler County, Nebraska",0.377,0.072
"York County, Nebraska",0.424,0.037
"Churchill County, Nevada",0.384,0.021
"Clark County, Nevada",0.434,0.005
"Douglas County, Nevada",0.465,0.025
"Elko County, Nevada",0.361,0.021
"Esmeralda County, Nevada",0.526,0.078
"Eureka County, Nevada",0.412,0.078
"Humboldt County, Nevada",0.401,0.023
"Lander County, Nevada",0.4,0.071
"Lincoln County, Nevada",0.368,0.036
"Lyon County, Nevada",0.395,0.028
"Mineral County, Nevada",0.486,0.037
"Nye County, Nevada",0.454,0.029
"Pershing County, Nevada",0.379,0.045
"Storey County, Nevada",0.349,0.046
"Washoe County, Nevada",0.456,0.008
"White Pine County, Nevada",0.395,0.037
"Carson City, Nevada",0.442,0.022
"Belknap County, New Hampshire",0.415,0.012
"Carroll County, New Hampshire",0.443,0.018
"Cheshire County, New Hampshire",0.424,0.013
"Coos County, New Hampshire",0.415,0.017
"Grafton County, New Hampshire",0.438,0.012
"Hillsborough County, New Hampshire",0.412,0.006
"Merrimack County, New Hampshire",0.417,0.011
"Rockingham County, New Hampshire",0.404,0.007
"Strafford County, New Hampshire",0.424,0.01
"Sullivan County, New Hampshire",0.407,0.012
"Atlantic County, New Jersey",0.445,0.011
"Bergen County, New Jersey",0.468,0.005
"Burlington County, New Jersey",0.405,0.005
"Camden County, New Jersey",0.443,0.006
"Cape May County, New Jersey",0.454,0.012
"Cumberland County, New Jersey",0.433,0.011
"Essex County, New Jersey",0.523,0.005
"Gloucester County, New Jersey",0.399,0.006
"Hudson County, New Jersey",0.488,0.006
"Hunterdon County, New Jersey",0.439,0.012
"Mercer County, New Jersey",0.476,0.007
"Middlesex County, New Jersey",0.407,0.004
"Monmouth County, New Jersey",0.462,0.006
"Morris County, New Jersey",0.449,0.006
"Ocean County, New Jersey",0.426,0.005
"Passaic County, New Jersey",0.463,0.006
"Salem County, New Jersey",0.408,0.011
"Somerset County, New Jersey",0.445,0.008
"Sussex County, New Jersey",0.386,0.009
"Union County, New Jersey",0.481,0.007
"Warren County, New Jersey",0.404,0.012
"Bernalillo County, New Mexico",0.453,0.005
"Catron County, New Mexico",0.417,0.033
"Chaves County, New Mexico",0.436,0.019
"Cibola County, New Mexico",0.427,0.018
"Colfax County, New Mexico",0.422,0.023
"Curry County, New Mexico",0.444,0.017
"De Baca County, New Mexico",0.467,0.052
"Doña Ana County, New Mexico",0.461,0.009
"Eddy County, New Mexico",0.468,0.024
"Grant County, New Mexico",0.423,0.024
"Guadalupe County, New Mexico",0.431,0.037
"Harding County, New Mexico",0.408,0.038
"Hidalgo County, New Mexico",0.436,0.032
"Lea County, New Mexico",0.432,0.02
"Lincoln County, New Mexico",0.419,0.024
"Los Alamos County, New Mexico",0.351,0.019
"Luna County, New Mexico",0.488,0.046
"McKinley County, New Mexico",0.472,0.014
"Mora County, New Mexico",0.456,0.04
"Otero County, New Mexico",0.418,0.014
"Quay County, New Mexico",0.461,0.025
"Rio Arriba County, New Mexico",0.429,0.013
"Roosevelt County, New Mexico",0.437,0.025
"Sandoval County, New Mexico",0.417,0.013
"San Juan County, New Mexico",0.449,0.014
"San Miguel County, New Mexico",0.473,0.023
"Santa Fe County, New Mexico",0.489,0.012
"Sierra County, New Mexico",0.467,0.034
"Socorro County, New Mexico",0.486,0.034
"Taos County, New Mexico",0.465,0.022
"Torrance County, New Mexico",0.428,0.025
"Union County, New Mexico",0.4,0.039
"Valencia County, New Mexico",0.43,0.012
"Albany County, New York",0.449,0.008
"Allegany County, New York",0.422,0.014
"Bronx County, New York",0.482,0.004
"Broome County, New York",0.452,0.009
"Cattaraugus County, New York",0.405,0.009
"Cayuga County, New York",0.403,0.01
"Chautauqua County, New York",0.427,0.008
"Chemung County, New York",0.443,0.014
"Chenango County, New York",0.419,0.017
"Clinton County, New York",0.419,0.012
"Columbia County, New York",0.472,0.022
"Cortland County, New York",0.423,0.012
"Delaware County, New York",0.414,0.014
"Dutchess County, New York",0.42,0.007
"Erie County, New York",0.458,0.004
"Essex County, New York",0.422,0.025
"Franklin County, New York",0.42,0.014
"Fulton County, New York",0.439,0.027
"Genesee County, New York",0.407,0.019
"Greene County, New York",0.431,0.022
"Hamilton County, New York",0.419,0.028
"Herkimer County, New York",0.411,0.012
"Jefferson County, New York",0.42,0.009
"Kings County, New York",0.499,0.003
"Lewis County, New York",0.396,0.014
"Livingston County, New York",0.392,0.013
"Madison County, New York",0.411,0.011
"Monroe County, New York",0.452,0.005
"Montgomery County, New York",0.422,0.015
"Nassau County, New York",0.448,0.004
"New York County, New York",0.601,0.003
"Niagara County, New York",0.427,0.008
"Oneida County, New York",0.432,0.007
"Onondaga County, New York",0.453,0.006
"Ontario County, New York",0.43,0.011
"Orange County, New York",0.408,0.006
"Orleans County, New York",0.384,0.011
"Oswego County, New York",0.42,0.01
"Otsego County, New York",0.431,0.014
"Putnam County, New York",0.407,0.013
"Queens County, New York",0.433,0.003
"Rensselaer County, New York",0.412,0.008
"Richmond County, New York",0.429,0.005
"Rockland County, New York",0.442,0.008
"St. Lawrence County, New York",0.417,0.01
"Saratoga County, New York",0.408,0.009
"Schenectady County, New York",0.422,0.009
"Schoharie County, New York",0.408,0.016
"Schuyler County, New York",0.377,0.017
"Seneca County, New York",0.398,0.012
"Steuben County, New York",0.429,0.01
"Suffolk County, New York",0.417,0.004
"Sullivan County, New York",0.435,0.011
"Tioga County, New York",0.397,0.013
"Tompkins County, New York",0.468,0.012
"Ulster County, New York",0.43,0.009
"Warren County, New York",0.416,0.012
"Washington County, New York",0.391,0.013
"Wayne County, New York",0.385,0.009
"Westchester County, New York",0.535,0.005
"Wyoming County, New York",0.387,0.012
"Yates County, New York",0.455,0.025
"Alamance County, North Carolina",0.435,0.011
"Alexander County, North Carolina",0.446,0.029
"Alleghany County, North Carolina",0.476,0.032
"Anson County, North Carolina",0.442,0.043
"Ashe County, North Carolina",0.447,0.02
"Avery County, North Carolina",0.529,0.069
"Beaufort County, North Carolina",0.463,0.028
"Bertie County, North Carolina",0.48,0.032
"Bladen County, North Carolina",0.48,0.023
"Brunswick County, North Carolina",0.438,0.011
"Buncombe County, North Carolina",0.457,0.01
"Burke County, North Carolina",0.434,0.013
"Cabarrus County, North Carolina",0.432,0.012
"Caldwell County, North Carolina",0.446,0.015
"Camden County, North Carolina",0.365,0.027
"Carteret County, North Carolina",0.433,0.014
"Caswell County, North Carolina",0.42,0.025
"Catawba County, North Carolina",0.442,0.012
"Chatham County, North Carolina",0.459,0.016
"Cherokee County, North Carolina",0.44,0.027
"Chowan County, North Carolina",0.476,0.032
"Clay County, North Carolina",0.451,0.028
"Cleveland County, North Carolina",0.439,0.01
"Columbus County, North Carolina",0.469,0.017
"Craven County, North Carolina",0.445,0.017
"Cumberland County, North Carolina",0.433,0.007
"Currituck County, North Carolina",0.399,0.024
"Dare County, North Carolina",0.417,0.025
"Davidson County, North Carolina",0.423,0.009
"Davie County, North Carolina",0.43,0.015
"Duplin County, North Carolina",0.441,0.016
"Durham County, North Carolina",0.457,0.009
"Edgecombe County, North Carolina",0.452,0.022
"Forsyth County, North Carolina",0.47,0.007
"Franklin County, North Carolina",0.414,0.016
"Gaston County, North Carolina",0.452,0.011
"Gates County, North Carolina",0.422,0.027
"Graham County, North Carolina",0.463,0.04
"Granville County, North Carolina",0.417,0.017
"Greene County, North Carolina",0.399,0.024
"Guilford County, North Carolina",0.474,0.007
"Halifax County, North Carolina",0.47,0.016
"Harnett County, North Carolina",0.413,0.008
"Haywood County, North Carolina",0.438,0.015
"Henderson County, North Carolina",0.432,0.013
"Hertford County, North Carolina",0.473,0.023
"Hoke County, North Carolina",0.411,0.022
"Hyde County, North Carolina",0.391,0.043
"Iredell County, North Carolina",0.46,0.013
"Jackson County, North Carolina",0.454,0.019
"Johnston County, North Carolina",0.406,0.008
"Jones County, North Carolina",0.411,0.038
"Lee County, North Carolina",0.419,0.014
"Lenoir County, North Carolina",0.458,0.016
"Lincoln County, North Carolina",0.429,0.013
"McDowell County, North Carolina",0.422,0.016
"Macon County, North Carolina",0.5,0.033
"Madison County, North Carolina",0.424,0.025
"Martin County, North Carolina",0.446,0.021
"Mecklenburg County, North Carolina",0.477,0.006
"Mitchell County, North Carolina",0.437,0.025
"Montgomery County, North Carolina",0.492,0.031
"Moore County, North Carolina",0.444,0.013
"Nash County, North Carolina",0.452,0.014
"New Hanover County, North Carolina",0.485,0.013
"Northampton County, North Carolina",0.445,0.021
"Onslow County, North Carolina",0.401,0.008
"Orange County, North Carolina",0.521,0.012
"Pamlico County, North Carolina",0.433,0.032
"Pasquotank County, North Carolina",0.457,0.03
"Pender County, North Carolina",0.431,0.018
"Perquimans County, North Carolina",0.448,0.025
"Person County, North Carolina",0.415,0.015
"Pitt County, North Carolina",0.49,0.011
"Polk County, North Carolina",0.404,0.027
"Randolph County, North Carolina",0.447,0.027
"Richmond County, North Carolina",0.484,0.032
"Robeson County, North Carolina",0.483,0.012
"Rockingham County, North Carolina",0.423,0.011
"Rowan County, North Carolina",0.434,0.01
"Rutherford County, North Carolina",0.448,0.016
"Sampson County, North Carolina",0.457,0.019
"Scotland County, North Carolina",0.491,0.021
"Stanly County, North Carolina",0.418,0.015
"Stokes County, North Carolina",0.4,0.011
"Surry County, North Carolina",0.445,0.015
"Swain County, North Carolina",0.445,0.03
"Transylvania County, North Carolina",0.448,0.028
"Tyrrell County, North Carolina",0.432,0.064
"Union County, North Carolina",0.437,0.01
"Vance County, North Carolina",0.463,0.028
"Wake County, North Carolina",0.439,0.005
"Warren County, North Carolina",0.506,0.033
"Washington County, North Carolina",0.461,0.029
"Watauga County, North Carolina",0.516,0.018
"Wayne County, North Carolina",0.429,0.008
"Wilkes County, North Carolina",0.465,0.026
"Wilson County, North Carolina",0.448,0.014
"Yadkin County, North Carolina",0.425,0.018
"Yancey County, North Carolina",0.411,0.025
"Adams County, North Dakota",0.398,0.027
"Barnes County, North Dakota",0.458,0.041
"Benson County, North Dakota",0.473,0.033
"Billings County, North Dakota",0.438,0.071
"Bottineau County, North Dakota",0.472,0.028
"Bowman County, North Dakota",0.444,0.047
"Burke County, North Dakota",0.461,0.037
"Burleigh County, North Dakota",0.436,0.018
"Cass County, North Dakota",0.464,0.011
"Cavalier County, North Dakota",0.405,0.026
"Dickey County, North Dakota",0.463,0.041
"Divide County, North Dakota",0.449,0.033
"Dunn County, North Dakota",0.426,0.032
"Eddy County, North Dakota",0.407,0.025
"Emmons County, North Dakota",0.458,0.041
"Foster County, North Dakota",0.514,0.085
"Golden Valley County, North Dakota",0.497,0.064
"Grand Forks County, North Dakota",0.461,0.015
"Grant County, North Dakota",0.477,0.042
"Griggs County, North Dakota",0.42,0.045
"Hettinger County, North Dakota",0.448,0.035
"Kidder County, North Dakota",0.461,0.029
"LaMoure County, North Dakota",0.456,0.038
"Logan County, North Dakota",0.433,0.032
"McHenry County, North Dakota",0.421,0.021
"McIntosh County, North Dakota",0.456,0.026
"McKenzie County, North Dakota",0.466,0.061
"McLean County, North Dakota",0.402,0.014
"Mercer County, North Dakota",0.409,0.032
"Morton County, North Dakota",0.398,0.019
"Mountrail County, North Dakota",0.424,0.023
"Nelson County, North Dakota",0.442,0.058
"Oliver County, North Dakota",0.383,0.048
"Pembina County, North Dakota",0.425,0.038
"Pierce County, North Dakota",0.421,0.032
"Ramsey County, North Dakota",0.438,0.046
"Ransom County, North Dakota",0.362,0.022
"Renville County, North Dakota",0.385,0.031
"Richland County, North Dakota",0.415,0.018
"Rolette County, North Dakota",0.473,0.022
