Date,Data,Expected,Detection
09Nov14,6,9.679,0.819
08Nov14,9,9.464,0.574
07Nov14,5,9.071,0.479
06Nov14,14,9.321,0.078
05Nov14,16,9.321,0.049
04Nov14,5,9.071,0.861
03Nov14,8,9.071,0.596
02Nov14,11,9.25,0.361
01Nov14,5,8.929,0.871
31Oct14,2,8.286,0.581
30Oct14,11,7.929,0.019
29Oct14,19,7.679,0.003
28Oct14,12,7.464,0.102
27Oct14,8,7.321,0.259
26Oct14,11,14.724,0.918
25Oct14,7,12.831,0.978
24Oct14,8,13.867,0.98
23Oct14,8,13.011,0.963
22Oct14,6,12.126,0.982
21Oct14,10,11.376,0.687
20Oct14,11,5.643,0.012
19Oct14,14,5.321,0.001
18Oct14,12,5,0.004
17Oct14,13,4.643,0.001
16Oct14,9,4.393,0.01
15Oct14,11,4.179,0.003
14Oct14,9,3.821,0.005
13Oct14,9,3.679,0.005
12Oct14,10,3.5,0.008
11Oct14,5,3.321,0.055
10Oct14,7,3.214,0.025
09Oct14,8,2.786,0.003
08Oct14,5,2.692,0.012
07Oct14,12,2.64,0
06Oct14,8,2.542,0.002
05Oct14,4,2.348,0.023
04Oct14,5,2.304,0.016
03Oct14,7,2.304,0.008
02Oct14,2,2.261,0.584
01Oct14,1,2.304,0.702
30Sep14,2,2.13,0.389
29Sep14,1,2,0.242
28Sep14,5,1.957,0.03
27Sep14,3,1.739,0.077
26Sep14,2,1.522,0.04
25Sep14,6,1.565,0
24Sep14,5,1.435,0.007
23Sep14,1,1.435,0.221
22Sep14,3,1.348,0.031
21Sep14,2,1.217,0.029
20Sep14,3,1.304,0.017
19Sep14,4,1.261,0.014
18Sep14,0,1.174,0.5
17Sep14,1,1.2,0.276
16Sep14,2,1.25,0.116
15Sep14,3,1.25,0.058
14Sep14,0,1.3,0.5
13Sep14,1,1.15,0.246
12Sep14,2,0.913,0.044
11Sep14,3,0.786,0.016
10Sep14,2,0.786,0.141
09Sep14,0,0.821,0.5
08Sep14,0,0.893,0.5
07Sep14,0,0.929,0.5
06Sep14,0,0.929,0.5
05Sep14,0,0.964,0.5
04Sep14,1,0.964,0.432
03Sep14,1,0.929,0.375
02Sep14,1,0.893,0.31
01Sep14,2,0.964,0.164
31Aug14,1,1,0.537
30Aug14,0,1.036,0.5
29Aug14,1,1.2,0.589
28Aug14,1,1,0.534
27Aug14,0,1.16,0.5
26Aug14,2,1.16,0.235
25Aug14,0,1.16,0.5
24Aug14,2,1.16,0.208
23Aug14,1,1.16,0.567
22Aug14,1,1.036,0.481
21Aug14,2,1.107,0.23
20Aug14,0,1.107,0.5
19Aug14,0,1.179,0.5
18Aug14,0,1.214,0.5
17Aug14,1,1.107,0.476
16Aug14,1,1.107,0.406
15Aug14,3,1.24,0.064
14Aug14,0,1.25,0.5
13Aug14,0,1.292,0.5
12Aug14,1,1.25,0.639
11Aug14,0,1.167,0.5
10Aug14,1,1.167,0.405
09Aug14,2,1.167,0.226
08Aug14,1,1.125,0.482
07Aug14,1,1.083,0.379
06Aug14,2,1.083,0.205
05Aug14,1,1.125,0.555
04Aug14,1,1.083,0.541
03Aug14,0,1.125,0.5
02Aug14,2,1.042,0.1
01Aug14,2,0.857,0.097
31Jul14,2,0.857,0.159
30Jul14,1,0.821,0.466
29Jul14,0,0.821,0.5
28Jul14,1,0.857,0.232
27Jul14,2,0.821,0.137
